index,start_date,lat,lon,fw_fw_06_swe_-2,swe_swe_average_-2,clusteringLabel
5191,2006-06-01,61.40302,161.42073,2,255,0
5200,2006-06-01,59.27977,152.10272,1,255,0
5268,2006-06-01,42.41756,125.47272,0,255,0
5278,2006-06-01,40.38366,123.91359,4,255,1
5279,2006-06-01,40.1773,123.76428,1,255,0
5303,2006-06-01,29.9041,117.87386,0,255,0
5318,2006-06-01,26.39535,116.37375,0,255,0
5393,2006-06-01,61.47073,-160.40771,6,255,1
5409,2006-06-01,63.11908,177.08916,2,255,0
5411,2006-06-01,63.09163,176.12148,2,255,0
5414,2006-06-01,63.03583,174.67426,0,255,0
5416,2006-06-01,62.98892,173.7131,0,255,0
5425,2006-06-01,62.68294,169.439,0,255,0
5480,2006-06-01,49.2323,131.79478,0,255,0
5485,2006-06-01,48.32711,130.73877,1,255,0
5501,2006-06-01,45.31949,127.64091,0,255,0
5508,2006-06-01,43.95397,126.40878,0,255,0
5511,2006-06-01,43.35999,125.90177,0,255,0
5558,2006-06-01,28.86683,117.1598,23,255,3
5579,2006-06-01,23.8656,115.17913,0,255,0
5591,2006-06-01,34.44305,-119.59489,0,255,0
5610,2006-06-01,38.56353,-122.03291,0,255,0
5617,2006-06-01,40.03582,-123.02386,0,255,0
5628,2006-06-01,60.01788,-152.85031,8,255,1
5635,2006-06-01,60.72747,-155.62988,0,255,0
5672,2006-06-01,63.10143,171.73284,0,255,0
5683,2006-06-01,62.62019,166.54132,0,255,0
5708,2006-06-01,53.16741,136.76627,0,255,0
5709,2006-06-01,53.00423,136.50743,0,255,0
5732,2006-06-01,49.031,131.12532,0,255,0
5755,2006-06-01,44.68914,126.69432,0,255,0
5784,2006-06-01,36.85044,120.96375,0,255,0
5793,2006-06-01,33.3292,119.00847,2,255,0
5839,2006-06-01,1.753,109.30533,19,255,3
5869,2006-06-01,39.54179,-122.36978,0,255,0
5882,2006-06-01,42.23401,-124.30779,27,255,4
5912,2006-06-01,62.42029,-163.21017,10,255,2
5914,2006-06-01,62.55084,-164.11986,1,255,0
5922,2006-06-01,63.55391,176.0548,0,255,0
5938,2006-06-01,63.04855,168.31064,0,255,0
5958,2006-06-01,60.84195,155.03722,18,255,3
5968,2006-06-01,59.7853,151.11342,0,255,0
6012,2006-06-01,46.57793,128.08878,0,255,0
6038,2006-06-01,41.41512,123.69007,0,255,0
6056,2006-06-01,35.891,120.11373,12,255,2
6099,2006-06-01,24.57948,114.97909,0,255,0
6101,2006-06-01,24.09275,114.80408,0,255,0
6133,2006-06-01,38.82718,-121.5904,0,255,0
6134,2006-06-01,39.03984,-121.72765,0,255,0
6139,2006-06-01,40.09551,-122.43021,0,255,0
6150,2006-06-01,42.37253,-124.07719,0,255,0
6199,2006-06-01,63.70467,174.04286,0,255,0
6200,2006-06-01,63.67966,173.55046,0,255,0
6248,2006-06-01,59.98949,150.90311,0,255,0
6251,2006-06-01,59.28411,148.67131,11,255,2
6252,2006-06-01,54.16138,137.33203,24,255,4
6258,2006-06-01,53.01602,135.50258,0,255,0
6267,2006-06-01,51.48392,133.30821,0,255,0
6270,2006-06-01,50.95924,132.61406,0,255,0
6283,2006-06-01,48.61071,129.80557,0,255,0
6331,2006-06-01,39.03984,121.72765,0,255,0
6353,2006-06-01,32.21945,117.92153,0,255,0
6373,2006-06-01,27.09806,115.69553,0,255,0
6395,2006-06-01,34.59375,-118.84266,0,255,0
6408,2006-06-01,37.45247,-120.43973,0,255,0
6430,2006-06-01,42.09999,-123.53605,6,255,1
6517,2006-06-01,61.45959,155.48036,0,255,0
6562,2006-06-01,49.68464,130.60129,0,255,0
6581,2006-06-01,46.10258,126.8699,0,255,0
6593,2006-06-01,43.7277,124.80401,0,255,0
6596,2006-06-01,43.12136,124.3188,0,255,0
6632,2006-06-01,34.14673,118.61046,0,255,0
6636,2006-06-01,33.24696,118.15619,0,255,0
6653,2006-06-01,29.33784,116.36542,15,255,2
6664,2006-06-01,26.49491,115.22392,0,255,0
6681,2006-06-01,34.04391,-118.28448,13,255,2
6722,2006-06-01,42.85158,-123.76823,20,255,3
6737,2006-06-01,61.47352,-154.45798,0,255,0
6778,2006-06-01,63.62869,167.04242,0,255,0
6786,2006-06-01,63.15343,163.25424,0,255,0
6803,2006-06-01,61.76742,155.70903,0,255,0
6824,2006-06-01,59.43377,147.49602,0,255,0
6865,2006-06-01,47.59793,127.92966,0,255,0
6877,2006-06-01,45.26591,125.74427,0,255,0
6882,2006-06-01,44.26959,124.89697,0,255,0
6947,2006-06-01,26.84727,115.12093,0,255,0
6958,2006-06-01,24.18217,114.15207,5,255,1
6982,2006-06-01,37.26947,-119.74488,0,255,0
6985,2006-06-01,37.92265,-120.12706,21,255,3
7002,2006-06-01,41.54061,-122.47119,0,255,0
7025,2006-06-01,61.58143,-153.84566,0,255,0
7044,2006-06-01,63.23702,-162.18111,15,255,2
7082,2006-06-01,62.77973,159.44395,0,255,0
7094,2006-06-01,61.68316,154.25929,0,255,0
7126,2006-06-01,52.668,133.50566,0,255,0
7163,2006-06-01,45.80342,125.85115,0,255,0
7185,2006-06-01,41.33179,122.32433,0,255,0
7200,2006-06-01,34.38929,118.1862,0,255,0
7235,2006-06-01,26.23753,114.6559,0,255,0
7248,2006-06-01,23.05921,113.54746,7,255,1
7281,2006-06-01,38.04812,-119.90448,0,255,0
7314,2006-06-01,60.68396,-149.64737,1,255,0
7376,2006-06-01,63.72871,163.91835,0,255,0
7405,2006-06-01,61.14375,151.20903,0,255,0
7421,2006-06-01,54.35802,135.52086,46,255,6
7437,2006-06-01,51.60015,131.60507,0,255,0
7452,2006-06-01,48.84467,128.40939,0,255,0
7471,2006-06-01,45.15009,124.9194,0,255,0
7486,2006-06-01,42.08983,122.53506,0,255,0
7487,2006-06-01,41.8816,122.38638,0,255,0
7501,2006-06-01,34.95819,118.20163,0,255,0
7507,2006-06-01,33.60564,117.52522,0,255,0
7513,2006-06-01,32.23623,116.87814,6,255,1
7516,2006-06-01,31.5452,116.56505,0,255,0
7532,2006-06-01,27.78816,115.00372,15,255,2
7556,2006-06-01,27.65991,-114.7143,26,255,4
7578,2006-06-01,34.62824,-117.75854,0,255,0
7593,2006-06-01,37.9547,-119.55368,0,255,0
7609,2006-06-01,41.38438,-121.71513,0,255,0
7619,2006-06-01,43.46317,-123.21525,0,255,0
7690,2006-06-01,64.07651,164.74489,0,255,0
7727,2006-06-01,60.64504,148.65479,0,255,0
7744,2006-06-01,53.34012,133.47923,0,255,0
7745,2006-06-01,53.16741,133.23373,0,255,0
7770,2006-06-01,48.61406,127.76308,0,255,0
7784,2006-06-01,45.88809,125.18874,0,255,0
7819,2006-06-01,34.85328,117.87196,0,255,0
7825,2006-06-01,33.49602,117.20401,0,255,0
7847,2006-06-01,28.37576,114.9903,15,255,2
7849,2006-06-01,27.899,114.80566,29,255,4
7871,2006-06-01,22.5267,112.9321,11,255,2
7876,2006-06-01,27.76962,-114.51616,12,255,2
7907,2006-06-01,36.5363,-118.47047,0,255,0
7922,2006-06-01,39.81145,-120.37122,0,255,0
7936,2006-06-01,42.76997,-122.36329,0,255,0
7941,2006-06-01,43.80262,-123.13227,0,255,0
7992,2006-06-01,65.15024,175.27986,0,255,0
7996,2006-06-01,65.05754,173.19868,0,255,0
8002,2006-06-01,64.85639,170.11202,0,255,0
8003,2006-06-01,64.81572,169.60266,0,255,0
8040,2006-06-01,61.99325,152.39333,0,255,0
8064,2006-06-01,56.16441,137.46576,8,255,1
8097,2006-06-01,50.08315,128.91766,0,255,0
8156,2006-06-01,34.52052,117.43147,0,255,0
8165,2006-06-01,32.46721,116.4603,8,255,1
8179,2006-06-01,29.19854,115.07072,17,255,3
