index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
914,1995-09-01,4.94835,118.13134,0,0,0,0,15,31,45,0,0,0,0,0,0,0,0,0,26,65,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
923,1995-09-01,1.09291,117.06889,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,68,23,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
939,1995-09-01,35.14726,133.44249,0,91,0,0,0,9,74,8,0,0,0,0,0,0,0,0,69,13,9,0,1,73,17,0,0,0,91,0,0,0,0,87,4,0,0
947,1995-09-01,32.69456,131.34071,0,91,0,0,0,9,80,2,0,0,0,0,0,0,0,0,60,19,12,0,0,77,14,0,0,0,91,0,0,0,0,84,7,0,0
953,1995-09-01,31.52595,130.42607,0,0,0,0,0,10,46,25,7,0,0,0,0,0,0,5,65,13,8,0,1,74,16,0,0,0,91,0,0,0,0,86,5,0,1
954,1995-09-01,31.32897,130.27689,0,0,0,0,0,12,70,9,0,0,0,0,0,0,0,8,63,12,8,0,1,74,16,0,0,0,91,0,0,0,0,87,4,0,1
971,1995-09-01,4.82195,117.90593,0,0,0,0,1,20,63,1,0,0,0,0,0,0,0,0,31,60,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
972,1995-09-01,4.55096,117.82818,0,0,0,0,16,34,32,6,1,0,0,0,0,0,0,0,34,57,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
976,1995-09-01,3.45911,117.52112,0,0,0,0,10,16,55,2,0,0,0,0,0,0,0,0,53,38,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
983,1995-09-01,1.23618,116.9254,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,68,23,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1001,1995-09-01,41.51928,140.05383,0,0,0,0,4,7,65,12,2,0,0,0,0,0,0,1,82,8,0,0,7,63,21,0,0,0,91,0,0,0,0,90,1,0,1
1003,1995-09-01,35.13641,133.09662,0,91,0,0,0,0,85,6,0,0,0,0,0,0,0,0,70,12,9,0,0,75,16,0,0,0,91,0,0,0,0,87,4,0,0
1026,1995-09-01,15.69651,121.41187,0,0,0,0,6,25,41,14,5,0,0,0,0,0,0,0,39,49,3,0,2,82,7,0,0,0,91,0,0,0,0,91,0,0,1
1027,1995-09-01,15.45481,121.31487,0,0,0,0,0,27,56,2,6,0,0,0,0,0,0,0,45,45,1,0,2,80,9,0,0,0,91,0,0,0,0,91,0,0,1
1036,1995-09-01,11.7515,119.92213,0,0,0,0,0,3,86,2,0,0,0,0,0,0,0,0,67,23,1,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1039,1995-09-01,5.77328,117.99339,0,0,0,0,1,9,72,9,0,0,0,0,0,0,0,0,72,18,1,0,0,90,1,0,0,0,91,0,0,0,0,91,0,0,1
1054,1995-09-01,1.65939,116.85442,0,0,0,0,0,0,31,10,16,0,0,0,0,0,0,0,64,27,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
1063,1995-09-01,43.70929,142.72864,0,91,0,0,0,0,44,4,13,0,0,0,0,0,0,0,62,24,5,0,6,69,16,0,0,0,91,0,0,0,0,88,3,0,0
1075,1995-09-01,35.12339,132.75087,0,89,2,0,0,5,73,13,0,0,0,0,0,0,0,0,75,15,1,0,0,74,17,0,0,0,91,0,0,0,0,87,4,0,0
1090,1995-09-01,17.99212,122.14766,0,0,0,0,1,38,50,2,0,0,0,0,0,0,0,1,62,28,0,0,0,88,3,0,0,0,91,0,0,0,0,91,0,0,1
1094,1995-09-01,17.04343,121.74413,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,46,45,0,0,1,83,7,0,0,0,91,0,0,0,0,91,0,0,1
1098,1995-09-01,16.08475,121.34958,0,0,0,0,0,37,40,12,2,0,0,0,0,0,0,0,45,43,3,0,1,85,5,0,0,0,91,0,0,0,0,91,0,0,1
1100,1995-09-01,15.60164,121.15559,0,0,0,0,0,11,64,11,2,0,0,0,0,0,0,0,48,41,2,0,2,80,9,0,0,0,91,0,0,0,0,91,0,0,1
1105,1995-09-01,10.88268,119.4156,0,0,0,0,7,4,60,12,4,0,0,0,0,0,0,0,57,33,1,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1112,1995-09-01,5.10684,117.61075,0,0,0,0,0,0,30,7,7,0,0,0,0,0,0,0,51,40,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
1118,1995-09-01,3.46844,117.15343,0,0,0,0,1,17,65,1,0,0,0,0,0,0,0,0,53,38,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1122,1995-09-01,2.36007,116.85626,0,0,0,0,0,0,44,10,0,0,0,0,0,0,0,0,58,33,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
1131,1995-09-01,44.34706,143.24632,0,0,0,0,0,1,70,13,7,0,0,41,3,6,0,0,72,18,1,0,12,58,21,0,0,0,91,0,0,0,0,88,3,0,1
1137,1995-09-01,43.45339,141.87482,0,91,0,0,0,9,41,25,10,0,0,0,0,0,0,0,70,13,8,0,6,68,17,0,0,0,91,0,0,0,0,88,3,0,0
1158,1995-09-01,17.90355,121.88356,0,0,0,0,0,2,75,14,0,0,0,0,0,0,0,0,61,30,0,0,2,81,8,0,0,0,91,0,0,0,0,91,0,0,1
1162,1995-09-01,16.95161,121.48343,0,0,0,0,0,0,76,0,6,0,0,0,0,0,0,0,49,40,2,0,2,82,7,0,0,0,91,0,0,0,0,91,0,0,1
1169,1995-09-01,15.26165,120.80451,0,0,0,0,0,0,63,14,13,0,0,0,0,0,0,0,58,33,0,0,1,82,8,0,0,0,91,0,0,0,0,91,0,0,1
1180,1995-09-01,4.15869,117.15723,0,0,0,0,0,24,64,2,0,0,0,0,0,0,0,0,54,37,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1186,1995-09-01,2.50078,116.71084,0,0,0,0,0,0,28,22,6,0,0,0,0,0,0,0,54,37,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1187,1995-09-01,2.2216,116.63776,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,55,36,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
1211,1995-09-01,42.40375,139.94408,0,89,1,1,0,14,56,5,10,0,0,37,0,2,0,0,83,8,0,0,9,61,21,0,0,0,91,0,0,0,0,90,1,0,0
1214,1995-09-01,34.13977,131.25385,0,91,0,0,0,20,69,2,0,0,0,0,0,0,0,1,68,17,3,0,2,71,18,0,0,0,91,0,0,0,0,87,4,0,0
1226,1995-09-01,16.85798,121.2233,0,0,0,0,0,11,70,1,5,0,0,0,0,0,0,0,54,34,3,0,2,87,2,0,0,0,91,0,0,0,0,91,0,0,1
1245,1995-09-01,4.84509,117.16109,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,48,43,0,0,1,90,0,0,0,0,91,0,0,0,0,91,0,0,1
1251,1995-09-01,3.19657,116.71178,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,51,40,0,0,0,91,0,0,0,0,91,0,0,0,0,91,0,0,1
1263,1995-09-01,53.43754,-168.05582,0,0,0,0,0,16,69,2,4,0,0,0,0,0,0,10,73,8,0,0,12,56,23,0,0,0,91,0,0,0,0,91,0,0,1
