index,lat,lon
972,4.55096,117.82818
973,4.27919,117.75082
974,4.00663,117.67387
975,3.73327,117.5973
976,3.45911,117.52112
977,2.90834,117.36992
978,2.63174,117.29489
979,2.3543,117.22025
980,2.07603,117.14598
981,1.79693,117.07208
982,1.51698,116.99856
983,1.23618,116.9254
984,0.95452,116.85261
985,0.672,116.78018
986,0.3886,116.70811
987,0.10433,116.63641
988,44.09891,143.82387
989,43.95397,143.59123
990,43.80815,143.35997
991,43.66146,143.1301
992,43.5139,142.90161
993,43.36548,142.67448
994,43.21621,142.44872
995,43.06609,142.22432
996,42.91513,142.00127
997,42.76333,141.77957
998,41.9919,140.6911
999,41.83516,140.47737
1000,41.67762,140.26495
1001,41.51928,140.05383
1002,35.32154,133.2643
1003,35.13641,133.09662
1004,34.95061,132.92996
1005,34.76416,132.76436
1006,34.57705,132.59979
1007,34.38929,132.43623
1008,34.20087,132.27368
1009,34.01181,132.11215
1010,33.44073,131.63354
1011,33.24908,131.47597
1012,33.0568,131.31938
1013,32.86388,131.16376
1014,32.67033,131.00909
1015,32.47614,130.85538
1016,32.28132,130.70261
1017,32.08588,130.5508
1018,31.8898,130.3999
1019,17.37073,122.10625
1020,17.13344,122.00539
1021,16.89552,121.90508
1022,16.65698,121.80533
1023,16.41781,121.70614
1024,16.17801,121.60751
1025,15.93757,121.50941
1026,15.69651,121.41187
1027,15.45481,121.31487
1028,15.21247,121.2184
1029,14.96949,121.12247
1030,14.72587,121.02707
1031,14.48161,120.93219
1032,14.2367,120.83783
1033,13.99114,120.744
1034,13.49807,120.55785
1035,12.00301,120.01147
1036,11.7515,119.92213
1037,10.73865,119.56953
1038,10.48373,119.48256
1039,5.77328,117.99339
1040,5.50457,117.9147
1041,5.23508,117.83642
1042,4.96482,117.75854
1043,4.69378,117.68106
1044,4.42196,117.60398
1045,4.14935,117.52729
1046,3.87594,117.451
1047,3.60173,117.37509
1048,3.32672,117.29958
1049,3.05089,117.22443
1050,2.77425,117.14968
1051,2.49678,117.0753
1052,2.21849,117.0013
1053,1.93936,116.92768
1054,1.65939,116.85442
1055,1.37857,116.78153
1056,1.0969,116.70901
1057,0.81436,116.63685
1058,0.53096,116.56505
1059,0.24669,116.49361
1060,44.1508,143.41948
1061,44.0045,143.18781
1062,43.85733,142.95752
1063,43.70929,142.72864
1064,43.5604,142.50113
1065,43.41064,142.27501
1066,43.26005,142.05025
1067,43.1086,141.82686
1068,42.95632,141.60483
1069,42.8032,141.38417
1070,42.64927,141.16484
1071,42.4945,140.94687
1072,42.02532,140.30093
1073,35.49511,133.08505
1074,35.30959,132.91743
1075,35.12339,132.75087
1076,34.93655,132.58534
1077,34.74905,132.42085
1078,34.5609,132.25739
1079,34.37209,132.09494
1080,34.18264,131.93352
1081,33.61043,131.45523
1082,33.41841,131.29779
1083,33.22576,131.14133
1084,33.03247,130.98582
1085,32.83854,130.8313
1086,32.64399,130.67772
1087,32.44881,130.5251
1088,32.05657,130.22269
1089,18.22775,122.24998
1090,17.99212,122.14766
1091,17.75588,122.04592
1092,17.51902,121.94476
1093,17.28153,121.84415
1094,17.04343,121.74413
1095,16.8047,121.64466
1096,16.56535,121.54575
1097,16.32536,121.44739
1098,16.08475,121.34958
1099,15.84351,121.25232
1100,15.60164,121.15559
1101,15.35913,121.05941
1102,15.11598,120.96375
1103,14.8722,120.86864
1104,11.13704,119.50275
1105,10.88268,119.4156
1106,10.62764,119.32891
1107,10.3719,119.24268
1108,10.11548,119.15692
1109,5.91549,117.84477
1110,5.64671,117.76636
1111,5.37716,117.68835
1112,5.10684,117.61075
1113,4.83574,117.53355
1114,4.56387,117.45674
1115,4.2912,117.38033
1116,4.01774,117.30431
1117,3.74349,117.22868
1118,3.46844,117.15343
1119,3.19257,117.07858
1120,2.91589,117.00409
1121,2.6384,116.92999
1122,2.36007,116.85626
1123,2.08092,116.78291
1124,1.80092,116.70992
1125,1.52008,116.63731
1126,1.2384,116.56505
1127,0.95585,116.49316
1128,0.67244,116.42163
1129,0.38816,116.35046
1130,0.103,116.27965
1131,44.34706,143.24632
1132,44.20027,143.01424
1133,44.05261,142.78355
1134,43.90409,142.55429
1135,43.75471,142.3264
1136,43.60447,142.09991
1137,43.45339,141.87482
1138,43.30147,141.65109
1139,43.14871,141.42874
1140,42.99511,141.20776
1141,42.84069,140.98814
1142,42.68545,140.76988
1143,42.21485,140.12317
1144,35.10822,132.40529
1145,34.92032,132.24089
1146,34.73178,132.07753
1147,34.54259,131.91519
1148,34.35275,131.75386
1149,34.16227,131.59355
1150,33.587,131.11862
