index,start_date,lat,lon,P0.1_N1_Q0.1_V[ALL]_C15
77985,1996-06-01,16.22373,80.56855,1
77990,1996-06-01,7.32542,81.43548,1
78005,1996-06-01,35.5229,-77.33764,0
78074,1996-06-01,51.87299,-72.11071,0
78075,1996-06-01,52.09982,-72.00409,2
78091,1996-06-01,55.68869,-70.11484,0
78111,1996-06-01,77.92827,17.41797,1
78127,1996-06-01,65.50722,61.77122,0
78154,1996-06-01,59.8444,67.31347,0
78163,1996-06-01,57.89118,68.72839,0
78179,1996-06-01,54.35193,70.86635,0
78183,1996-06-01,53.45466,71.33768,2
78197,1996-06-01,50.27706,72.82409,2
78198,1996-06-01,50.04792,72.92153,0
78213,1996-06-01,46.57664,74.26386,0
78229,1996-06-01,42.32632,75.62553,2
78236,1996-06-01,40.64792,76.09472,2
78239,1996-06-01,39.92412,76.28673,3
78243,1996-06-01,38.95481,76.53479,3
78245,1996-06-01,38.46832,76.65555,1
78257,1996-06-01,35.27535,77.39139,3
78265,1996-06-01,33.28303,77.8058,3
78283,1996-06-01,28.71856,78.6467,0
78285,1996-06-01,28.20402,78.73311,0
78308,1996-06-01,22.17091,79.64094,1
78323,1996-06-01,18.11013,80.15886,1
78332,1996-06-01,8.75598,81.13537,1
78333,1996-06-01,8.4622,81.16197,1
78340,1996-06-01,6.38651,81.34382,1
78359,1996-06-01,37.43404,-76.64287,0
78364,1996-06-01,39.13868,-76.2184,1
78365,1996-06-01,39.38096,-76.15559,0
78369,1996-06-01,40.34699,-75.89865,0
78371,1996-06-01,40.82819,-75.76664,0
78404,1996-06-01,48.59796,-73.17859,0
78409,1996-06-01,49.74775,-72.70459,0
78410,1996-06-01,49.97683,-72.60667,0
78431,1996-06-01,54.71959,-70.27112,0
78434,1996-06-01,55.38617,-69.88741,0
78437,1996-06-01,56.0499,-69.48914,0
78458,1996-06-01,77.15531,-23.86017,3
78467,1996-06-01,67.39081,58.54317,0
78484,1996-06-01,63.96717,62.98733,0
78492,1996-06-01,62.3027,64.69862,0
78498,1996-06-01,61.0355,65.85446,0
78526,1996-06-01,54.9421,70.14478,2
78530,1996-06-01,54.05019,70.641,0
78532,1996-06-01,53.60238,70.88027,2
78567,1996-06-01,44.87032,74.53878,0
78568,1996-06-01,44.6349,74.6167,2
78581,1996-06-01,41.54772,75.56402,2
78585,1996-06-01,40.58774,75.83294,2
78597,1996-06-01,37.6785,76.58381,3
78600,1996-06-01,36.94416,76.75948,5
78604,1996-06-01,35.96055,76.98678,3
78623,1996-06-01,30.96211,78.01709,2
78649,1996-06-01,24.24441,79.138,0
78655,1996-06-01,22.65494,79.36786,1
78691,1996-06-01,7.48373,-80.90297,1
78724,1996-06-01,41.48553,-75.29833,0
78731,1996-06-01,43.15235,-74.79461,0
78739,1996-06-01,45.03953,-74.17608,0
78741,1996-06-01,45.50839,-74.01371,1
78754,1996-06-01,48.5276,-72.87386,0
78756,1996-06-01,48.98773,-72.68436,0
78763,1996-06-01,50.58896,-71.98789,0
78776,1996-06-01,53.52398,-70.53998,0
78784,1996-06-01,55.52539,-69.39943,0
78791,1996-06-01,57.06383,-68.42009,1
78808,1996-06-01,77.20328,-20.67442,3
78817,1996-06-01,66.87835,58.65041,0
78826,1996-06-01,65.08384,61.09764,0
78827,1996-06-01,64.88145,61.34817,0
78831,1996-06-01,64.06637,62.31164,0
78836,1996-06-01,63.03583,63.43495,0
78840,1996-06-01,62.20268,64.27438,0
78852,1996-06-01,59.66128,66.51861,0
78858,1996-06-01,58.3691,67.50738,0
78867,1996-06-01,56.40651,68.85047,2
78871,1996-06-01,55.52539,69.39943,0
78877,1996-06-01,54.19396,70.17352,0
78888,1996-06-01,51.72384,71.45633,2
78893,1996-06-01,50.58896,71.98789,2
78904,1996-06-01,48.06631,73.05938,2
78906,1996-06-01,47.60385,73.24104,2
78940,1996-06-01,38.5936,76.08982,1
78954,1996-06-01,34.66705,77.02357,3
78962,1996-06-01,32.67191,77.4457,2
78976,1996-06-01,29.12592,78.1228,0
78978,1996-06-01,28.61343,78.2137,0
78980,1996-06-01,28.0994,78.30323,0
78983,1996-06-01,27.32545,78.43504,0
78998,1996-06-01,23.40089,79.05243,1
79000,1996-06-01,22.8704,79.12987,1
79004,1996-06-01,21.80408,79.28154,1
79011,1996-06-01,19.92035,79.53712,1
79012,1996-06-01,19.64936,79.57265,1
79015,1996-06-01,18.83346,79.67782,1
79027,1996-06-01,15.5243,80.07834,1
79040,1996-06-01,7.7316,-80.70669,1
79048,1996-06-01,34.85707,-76.73159,0
79056,1996-06-01,36.82662,-76.26916,1
79063,1996-06-01,39.74221,-75.51312,1
79070,1996-06-01,41.42222,-75.03328,0
79073,1996-06-01,42.13765,-74.81799,0
79083,1996-06-01,44.50292,-74.0546,0
79085,1996-06-01,44.97241,-73.89287,0
79090,1996-06-01,46.14097,-73.4742,0
79091,1996-06-01,46.3738,-73.38791,0
79110,1996-06-01,50.74149,-71.56505,0
79111,1996-06-01,50.96839,-71.45836,0
79112,1996-06-01,51.195,-71.35046,0
79122,1996-06-01,53.44423,-70.20112,0
79126,1996-06-01,54.55714,-69.57397,1
79127,1996-06-01,54.77875,-69.44395,1
79150,1996-06-01,76.45776,-25.70995,13
79153,1996-06-01,76.91025,-21.2505,3
79167,1996-06-01,66.56193,58.46521,0
79173,1996-06-01,65.37279,60.12401,0
79174,1996-06-01,65.17241,60.38519,0
79201,1996-06-01,59.56746,66.12472,0
79206,1996-06-01,58.49447,66.96496,0
79222,1996-06-01,55.00005,69.31234,0
79246,1996-06-01,49.60246,72.08121,2
79256,1996-06-01,47.30216,73.03385,2
79260,1996-06-01,46.3738,73.38791,0
79290,1996-06-01,38.7754,75.77403,3
79293,1996-06-01,38.047,75.96375,3
79300,1996-06-01,36.3362,76.38771,3
79301,1996-06-01,36.09051,76.44623,3
79312,1996-06-01,33.11609,77.11181,3
79323,1996-06-01,30.34556,77.66783,0
79334,1996-06-01,27.5303,78.17851,0
79337,1996-06-01,26.75436,78.31063,0
79338,1996-06-01,26.49491,78.35402,0
79357,1996-06-01,21.48537,79.12203,1
79381,1996-06-01,14.91625,79.95987,1
79383,1996-06-01,14.35523,80.02396,1
79386,1996-06-01,13.50947,80.11859,1
79408,1996-06-01,21.96801,-78.84812,1
79410,1996-06-01,34.79818,-76.4948,1
79411,1996-06-01,35.5387,-76.32222,1
79419,1996-06-01,38.22855,-75.65066,0
79442,1996-06-01,43.96505,-73.93581,0
79444,1996-06-01,44.43519,-73.77472,0
79455,1996-06-01,46.99959,-72.82943,0
79501,1996-06-01,57.53914,-67.22503,0
79506,1996-06-01,58.61689,-66.41835,0
79513,1996-06-01,76.52991,-22.69379,3
79515,1996-06-01,76.85357,-19.0577,1
79517,1996-06-01,67.97947,55.49148,0
79546,1996-06-01,62.20553,63.22507,0
79553,1996-06-01,60.74289,64.6326,0
79561,1996-06-01,59.04532,66.0804,0
79603,1996-06-01,49.75598,71.66866,2
79621,1996-06-01,45.60529,73.35791,6
79623,1996-06-01,45.13814,73.5271,4
79643,1996-06-01,40.40055,75.05127,3
79657,1996-06-01,37.01078,75.96375,3
79658,1996-06-01,36.76625,76.02477,3
79663,1996-06-01,35.5387,76.32222,3
79703,1996-06-01,25.39952,78.31775,1
79722,1996-06-01,20.3587,79.07719,1
79745,1996-06-01,14.02405,79.87533,1
79754,1996-06-01,8.56578,80.45246,1
79762,1996-06-01,6.19734,80.6764,1
79763,1996-06-01,7.3375,-80.39738,1
79779,1996-06-01,38.4083,-75.33554,0
79784,1996-06-01,40.09609,-74.86205,1
79816,1996-06-01,47.84976,-72.1598,0
79821,1996-06-01,49.22415,-71.56505,0
79834,1996-06-01,52.16412,-70.1357,0
79839,1996-06-01,53.28074,-69.52772,0
79842,1996-06-01,53.94683,-69.14554,1
79857,1996-06-01,57.23142,-67.01128,0
79859,1996-06-01,57.66329,-66.6951,1
79872,1996-06-01,69.86371,-50.93741,1
79874,1996-06-01,68.59441,53.61564,11
79890,1996-06-01,65.3377,58.94573,0
79891,1996-06-01,65.13969,59.21585,0
79898,1996-06-01,63.73673,60.99358,0
79913,1996-06-01,60.64232,64.23067,0
79915,1996-06-01,60.22173,64.61209,0
79936,1996-06-01,55.70836,68.05659,0
79940,1996-06-01,54.8303,68.61427,0
79945,1996-06-01,53.72513,69.27444,2
79949,1996-06-01,52.83506,69.77514,2
79971,1996-06-01,47.84976,72.1598,2
79976,1996-06-01,46.69613,72.62775,2
79984,1996-06-01,44.83466,73.32887,0
80010,1996-06-01,38.65036,75.26967,3
80017,1996-06-01,36.94915,75.7189,3
80019,1996-06-01,36.46017,75.84237,3
80032,1996-06-01,33.24908,76.59651,2
80040,1996-06-01,31.24387,77.0226,2
80049,1996-06-01,28.96004,77.47119,0
80054,1996-06-01,27.67793,77.70746,0
80057,1996-06-01,26.90395,77.84505,0
80070,1996-06-01,23.50724,78.40782,1
80076,1996-06-01,21.91494,78.65058,1
80090,1996-06-01,18.1344,79.17976,1
80091,1996-06-01,17.86068,79.2157,1
80092,1996-06-01,17.58646,79.2514,1
80106,1996-06-01,13.69152,79.72779,1
80108,1996-06-01,13.1262,79.79246,1
80126,1996-06-01,8.46534,-80.11201,1
80146,1996-06-01,41.46363,-74.16761,0
80158,1996-06-01,44.29623,-73.21735,2
80177,1996-06-01,48.69126,-71.46399,0
80183,1996-06-01,50.0562,-70.83454,0
80188,1996-06-01,51.18509,-70.27772,0
80195,1996-06-01,52.75218,-69.44395,0
80226,1996-06-01,59.48876,-64.77607,0
80235,1996-06-01,68.64063,52.76516,1
80237,1996-06-01,68.27348,53.48894,1
80240,1996-06-01,67.71602,54.53013,0
80256,1996-06-01,64.62463,59.30028,0
80261,1996-06-01,63.6237,60.56151,0
80277,1996-06-01,60.33085,64.0256,0
80313,1996-06-01,52.52928,69.56717,2
80315,1996-06-01,52.0825,69.80941,2
80318,1996-06-01,51.40992,70.16261,2
80323,1996-06-01,50.28261,70.72561,0
80324,1996-06-01,50.0562,70.83454,2
80325,1996-06-01,49.82949,70.9423,2
80328,1996-06-01,49.14748,71.25866,2
80336,1996-06-01,47.31524,72.05475,2
80358,1996-06-01,42.17594,73.94001,2
80371,1996-06-01,39.06896,74.88283,3
80380,1996-06-01,36.88647,75.47458,3
80390,1996-06-01,34.18264,76.13897,3
80392,1996-06-01,33.68661,76.25342,2
80401,1996-06-01,31.43702,76.74628,2
80406,1996-06-01,30.17458,77.00538,0
80413,1996-06-01,28.39139,77.35183,0
80417,1996-06-01,27.3639,77.54175,0
80418,1996-06-01,27.10603,77.58836,0
80432,1996-06-01,23.4526,78.20657,1
80437,1996-06-01,22.12734,78.41289,1
80441,1996-06-01,21.05896,78.5729,1
80495,1996-06-01,22.0723,-78.21525,1
80497,1996-06-01,39.48431,-74.49003,1
80508,1996-06-01,42.10716,-73.67315,0
80511,1996-06-01,42.8159,-73.43563,0
80524,1996-06-01,45.85497,-72.32389,0
80533,1996-06-01,47.92846,-71.46575,0
80539,1996-06-01,49.29686,-70.84761,0
80540,1996-06-01,49.52383,-70.7407,1
80552,1996-06-01,52.22272,-69.36245,0
80555,1996-06-01,52.89015,-68.98792,1
80561,1996-06-01,54.21595,-68.19859,0
80564,1996-06-01,54.87422,-67.7824,0
80578,1996-06-01,57.90286,-65.62353,0
80603,1996-06-01,67.20809,54.72757,0
80605,1996-06-01,66.83097,55.37584,0
80611,1996-06-01,65.6811,57.20047,0
80612,1996-06-01,65.48691,57.48808,0
80633,1996-06-01,61.26712,62.62229,0
80649,1996-06-01,57.90286,65.62353,0
80665,1996-06-01,54.43572,68.06151,0
80668,1996-06-01,53.77538,68.46789,2
80695,1996-06-01,47.69931,71.56505,2
80700,1996-06-01,46.54891,72.04651,2
80716,1996-06-01,42.8159,73.43563,2
80724,1996-06-01,40.91968,74.0546,2
80758,1996-06-01,32.62977,76.24853,2
80759,1996-06-01,32.37999,76.30412,2
80765,1996-06-01,30.87372,76.62867,0
80792,1996-06-01,23.92381,77.91968,1
80799,1996-06-01,22.0723,78.21525,1
80804,1996-06-01,20.73617,78.41778,1
80823,1996-06-01,15.54731,79.12855,1
80832,1996-06-01,13.02239,79.43597,1
80834,1996-06-01,12.45497,79.50197,1
80844,1996-06-01,7.82604,80.00195,1
80864,1996-06-01,41.56372,-73.56394,0
80868,1996-06-01,42.50954,-73.24713,0
80882,1996-06-01,45.78052,-72.03856,0
80894,1996-06-01,48.53564,-70.86021,0
80898,1996-06-01,49.44396,-70.43368,0
80912,1996-06-01,52.58253,-68.78588,0
80920,1996-06-01,54.34661,-67.71999,1
80928,1996-06-01,56.08803,-66.54767,0
80932,1996-06-01,56.94981,-65.9168,2
80950,1996-06-01,68.3599,-51.80905,1
80956,1996-06-01,75.60351,-22.13549,3
80982,1996-06-01,64.3856,58.42581,0
80987,1996-06-01,63.39305,59.7083,0
80988,1996-06-01,63.19274,59.95356,0
80994,1996-06-01,61.97908,61.35238,0
80998,1996-06-01,61.15937,62.22038,0
