index,start_date,lat,lon,P0.1_N1_ALL_C4
94786,1993-03-01,63.73673,29.00641,1
94799,1993-03-01,62.15232,34.33965,1
94847,1993-03-01,53.69141,50.3797,1
94859,1993-03-01,51.44975,52.99352,1
94872,1993-03-01,48.91952,55.50802,1
94881,1993-03-01,47.11155,57.07953,1
94886,1993-03-01,46.08851,57.89875,1
94905,1993-03-01,40.35165,61.75379,0
94909,1993-03-01,39.47282,62.25376,0
94914,1993-03-01,38.36417,62.85622,0
94917,1993-03-01,37.69363,63.20622,1
94919,1993-03-01,37.24439,63.43495,3
94924,1993-03-01,36.11356,63.9912,3
94929,1993-03-01,34.97172,64.52617,1
94938,1993-03-01,32.8887,65.43895,3
94945,1993-03-01,31.24387,66.1075,0
94984,1993-03-01,2.0179,-73.20749,0
95044,1993-03-01,66.20767,13.24052,0
95049,1993-03-01,65.91802,15.87117,1
95056,1993-03-01,65.42819,19.44003,1
95065,1993-03-01,64.07145,26.56505,1
95077,1993-03-01,62.59416,32.10625,1
95086,1993-03-01,60.73654,37.40535,1
95090,1993-03-01,60.16106,38.79655,1
95092,1993-03-01,59.86647,39.47246,1
95104,1993-03-01,58.00985,43.26429,1
95106,1993-03-01,57.68651,43.85423,1
95127,1993-03-01,53.90239,49.63546,1
95156,1993-03-01,48.38584,55.60587,1
95157,1993-03-01,48.18656,55.7843,1
95166,1993-03-01,46.36865,57.31944,1
95178,1993-03-01,42.60828,60.04639,0
95187,1993-03-01,40.66955,61.2602,0
95190,1993-03-01,40.01497,61.64504,1
95193,1993-03-01,39.35629,62.02052,0
95206,1993-03-01,36.45521,63.54685,3
95235,1993-03-01,29.71295,66.44774,0
95240,1993-03-01,28.51244,66.88827,1
95241,1993-03-01,28.27097,66.97451,0
95244,1993-03-01,27.54381,67.22962,0
95260,1993-03-01,0.11187,-73.33132,0
95275,1993-03-01,4.59367,-72.61623,0
95276,1993-03-01,4.88604,-72.56643,0
95289,1993-03-01,8.6196,-71.89307,0
95293,1993-03-01,11.96266,-71.22535,0
95296,1993-03-01,19.16412,-69.53501,0
95298,1993-03-01,47.85108,-55.70135,1
95313,1993-03-01,65.21046,-19.26526,1
95321,1993-03-01,65.75767,-15.20803,1
95335,1993-03-01,65.28566,18.76806,1
95343,1993-03-01,64.16491,24.98643,1
95344,1993-03-01,64.06637,25.44174,1
95346,1993-03-01,63.86429,26.34211,1
95348,1993-03-01,63.65566,27.22868,1
95354,1993-03-01,62.99185,29.80475,1
95357,1993-03-01,62.63948,31.04549,1
95362,1993-03-01,62.02348,33.04341,1
95367,1993-03-01,61.37339,34.95467,1
95378,1993-03-01,59.53771,39.5309,1
95399,1993-03-01,56.1931,45.82237,1
95411,1993-03-01,54.10688,48.8829,0
95416,1993-03-01,53.02266,50.28544,1
95420,1993-03-01,52.28575,51.1768,1
95431,1993-03-01,50.20494,53.46129,1
95435,1993-03-01,49.42964,54.23556,1
95448,1993-03-01,46.84635,56.56495,1
95465,1993-03-01,42.48488,59.80398,0
95472,1993-03-01,40.9831,60.76066,0
95505,1993-03-01,33.60138,64.60844,3
95512,1993-03-01,31.97289,65.30601,1
95515,1993-03-01,31.26825,65.59409,0
95516,1993-03-01,31.03247,65.68872,0
95533,1993-03-01,26.95468,67.19771,0
95539,1993-03-01,25.4835,67.68878,0
95572,1993-03-01,7.67611,-71.88997,0
95581,1993-03-01,19.06696,-69.35301,0
95590,1993-03-01,49.09395,-54.16234,1
95593,1993-03-01,64.59153,-21.51588,1
95597,1993-03-01,64.91595,-19.58399,1
95609,1993-03-01,65.75875,12.99461,1
95610,1993-03-01,65.70588,13.51656,1
95613,1993-03-01,65.53505,15.06848,2
95618,1993-03-01,65.21046,17.60463,1
95625,1993-03-01,64.67539,21.03751,1
95630,1993-03-01,63.75778,25.67681,1
95632,1993-03-01,63.55391,26.56505,1
95643,1993-03-01,62.32083,31.20619,1
95654,1993-03-01,60.91485,35.43331,1
95671,1993-03-01,58.29561,41.49646,1
95673,1993-03-01,57.98307,42.10873,1
95682,1993-03-01,56.52934,44.72321,1
95687,1993-03-01,55.69026,46.08092,1
95704,1993-03-01,52.68775,50.23954,1
95705,1993-03-01,52.5045,50.46384,1
95713,1993-03-01,51.01419,52.18427,1
95714,1993-03-01,50.82495,52.39041,1
95735,1993-03-01,46.7123,56.30993,1
95753,1993-03-01,42.57274,59.42077,1
95754,1993-03-01,42.36052,59.56275,1
95757,1993-03-01,41.72098,59.98163,1
95758,1993-03-01,41.50685,60.11894,1
95759,1993-03-01,41.29224,60.25512,0
95776,1993-03-01,37.57267,62.40784,0
95793,1993-03-01,33.72179,64.29004,3
95800,1993-03-01,32.09844,64.99717,0
95820,1993-03-01,27.33793,66.82987,0
95822,1993-03-01,26.85174,66.99927,0
95829,1993-03-01,25.13519,67.57413,0
95832,1993-03-01,24.39236,67.81225,0
95844,1993-03-01,2.93543,-72.54834,0
95850,1993-03-01,4.7009,-72.24899,0
95857,1993-03-01,6.72577,-71.88693,0
95863,1993-03-01,8.43306,-71.56505,0
95878,1993-03-01,48.56244,-54.27714,1
95889,1993-03-01,64.92013,-17.94244,1
95915,1993-03-01,64.45956,20.85445,1
95920,1993-03-01,63.64767,25.01689,1
95926,1993-03-01,63.03094,27.64597,1
95940,1993-03-01,61.25144,33.69006,1
95942,1993-03-01,60.99066,34.43898,1
