index,start_date,lat,lon,P0.1_N1_[ALL]_C5
45040,2006-12-01,32.78578,-98.03023,2
45041,2006-12-01,33.03987,-98.06325,2
45049,2006-12-01,35.06107,-98.33745,2
45058,2006-12-01,37.31127,-98.66891,2
45064,2006-12-01,38.79816,-98.90482,2
45065,2006-12-01,39.04498,-98.94538,2
45067,2006-12-01,39.53777,-99.02761,2
45068,2006-12-01,39.78374,-99.06929,2
45081,2006-12-01,42.95693,-99.64805,1
45084,2006-12-01,43.68292,-99.79214,1
45118,2006-12-01,51.75821,-101.78233,1
45125,2006-12-01,53.38769,-102.29527,1
45135,2006-12-01,55.69656,-103.10921,1
45137,2006-12-01,56.15566,-103.28487,1
45151,2006-12-01,59.34407,-104.65675,1
45162,2006-12-01,61.81715,-105.9454,1
45168,2006-12-01,63.15343,-106.74575,4
45172,2006-12-01,64.03901,-107.32409,4
45174,2006-12-01,64.48014,-107.62802,1
45179,2006-12-01,65.57792,-108.43495,1
45202,2006-12-01,71.56222,-114.67686,4
45205,2006-12-01,72.18224,-115.58852,4
45206,2006-12-01,72.38774,-115.90651,1
45215,2006-12-01,73.20338,117.25533,1
45219,2006-12-01,72.38774,115.90651,1
45272,2006-12-01,60.92124,105.45201,1
45286,2006-12-01,57.75544,103.9378,1
45289,2006-12-01,57.07117,103.65042,1
45291,2006-12-01,56.61386,103.46521,1
45314,2006-12-01,51.29063,101.64343,1
45338,2006-12-01,45.60783,100.1981,4
45355,2006-12-01,41.49797,99.37209,4
45356,2006-12-01,41.25388,99.32761,4
45360,2006-12-01,40.27488,99.15381,0
45394,2006-12-01,31.7661,97.90079,1
45410,2006-12-01,27.63187,97.42202,2
45418,2006-12-01,25.52919,97.20364,3
45420,2006-12-01,24.99958,97.15104,3
45421,2006-12-01,24.73416,97.12502,3
45437,2006-12-01,20.42967,96.73292,0
45447,2006-12-01,17.67999,96.50896,0
45453,2006-12-01,5.22261,95.69395,0
45455,2006-12-01,4.61369,95.66097,0
45459,2006-12-01,16.59727,-96.23605,0
45463,2006-12-01,17.71118,-96.31909,0
45466,2006-12-01,18.54133,-96.38282,0
45497,2006-12-01,34.59375,-98.02724,2
45519,2006-12-01,40.06826,-98.84768,2
45539,2006-12-01,44.9298,-99.75243,1
45544,2006-12-01,46.12945,-100.00798,1
45560,2006-12-01,49.92859,-100.92281,1
45566,2006-12-01,51.33817,-101.30993,1
45574,2006-12-01,53.20515,-101.87026,1
45577,2006-12-01,53.90164,-102.09476,1
45596,2006-12-01,58.94888,-104.03625,1
45599,2006-12-01,59.62881,-104.34933,4
45608,2006-12-01,61.88012,-105.49928,1
45629,2006-12-01,66.52516,-108.61017,4
45664,2006-12-01,73.10239,116.22197,1
45670,2006-12-01,71.86467,114.32558,1
45673,2006-12-01,71.23825,113.47099,1
45676,2006-12-01,70.60731,112.67134,1
45679,2006-12-01,69.9722,111.92178,1
45682,2006-12-01,69.33321,111.21797,1
45706,2006-12-01,64.10696,106.84381,1
