index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_minus3,fw_fw_06_swe_minus2,fw_fw_06_swe_minus1,fw_fw_06_swe_plus1,fw_fw_06_swe_plus2,swe_swe_average_minus3,swe_swe_average_minus2,swe_swe_average_minus1,swe_swe_average_plus1,swe_swe_average_plus2,energy_sw_up_minus3,energy_sw_up_minus2,energy_sw_up_minus1,energy_sw_up_plus1,energy_sw_up_plus2,energy_sw_dn_minus3,energy_sw_dn_minus2,energy_sw_dn_minus1,energy_sw_dn_plus1,energy_sw_dn_plus2,energy_lw_up_minus3,energy_lw_up_minus2,energy_lw_up_minus1,energy_lw_up_plus1,energy_lw_up_plus2,energy_lw_dn_minus3,energy_lw_dn_minus2,energy_lw_dn_minus1,energy_lw_dn_plus1,energy_lw_dn_plus2,clusterLabel
39161,2006-03-01,54.87653,107.84429,52,16,24,0,0,0,19,0,0,0,8,20,53,0,0,0,61,25,6,0,16,56,20,0,0,30,47,15,0,0,21,59,11,1,2
39171,2006-03-01,51.69807,106.37015,40,22,30,0,0,2,19,0,0,0,0,71,16,0,0,0,58,28,6,0,16,58,18,0,0,25,55,11,1,0,26,55,10,1,2
39174,2006-03-01,51.00996,106.08458,39,21,32,0,0,0,33,0,0,0,0,72,15,0,0,0,65,25,2,0,16,57,19,0,0,22,58,10,2,1,22,58,11,0,2
39186,2006-03-01,48.23315,105.03326,11,25,56,0,0,0,0,0,0,0,0,87,0,0,0,4,88,0,0,0,16,54,22,0,2,8,70,9,3,1,18,65,8,0,2
39191,2006-03-01,47.06465,104.63383,10,33,49,0,0,0,55,1,0,0,0,87,0,0,0,5,73,14,0,0,16,56,20,0,0,10,71,9,2,1,19,63,9,0,2
39212,2006-03-01,42.08206,103.16106,0,0,0,0,0,0,51,27,14,0,0,0,0,0,0,0,49,37,6,0,11,63,18,0,0,13,62,14,2,2,19,60,11,0,1
39216,2006-03-01,41.11894,102.91294,0,0,0,0,0,6,52,34,0,0,0,0,0,0,0,0,53,37,2,0,12,61,19,0,0,15,58,14,4,2,21,58,11,0,1
39217,2006-03-01,40.87744,102.85234,0,0,0,0,0,7,61,24,0,0,0,0,0,0,0,0,54,38,0,0,12,63,17,0,0,18,55,13,5,2,21,59,10,0,1
39236,2006-03-01,36.23222,101.79879,2,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,34,57,1,0,15,59,18,0,0,9,62,19,1,0,30,51,11,0,0
39246,2006-03-01,33.74206,101.30993,1,35,56,0,0,0,0,0,0,0,0,0,0,0,0,1,91,0,0,1,11,63,17,0,0,8,70,14,0,1,23,59,9,0,0
39253,2006-03-01,31.97916,100.99087,0,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,12,0,14,55,23,0,4,14,64,9,1,1,15,63,13,0,0
39260,2006-03-01,30.19921,100.6891,0,56,36,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,41,0,12,51,29,0,6,28,52,6,0,0,17,56,19,0,0
