index,start_date,lat,lon,ft_frozen,ft_thawed,ft_trans,ft_itrans,fw_fw_06_swe_-3,fw_fw_06_swe_-2,fw_fw_06_swe_-1,fw_fw_06_swe_+1,fw_fw_06_swe_+2,swe_swe_average_-3,swe_swe_average_-2,swe_swe_average_-1,swe_swe_average_+1,swe_swe_average_+2,energy_sw_up_-3,energy_sw_up_-2,energy_sw_up_-1,energy_sw_up_+1,energy_sw_up_+2,energy_sw_dn_-3,energy_sw_dn_-2,energy_sw_dn_-1,energy_sw_dn_+1,energy_sw_dn_+2,energy_lw_up_-3,energy_lw_up_-2,energy_lw_up_-1,energy_lw_up_+1,energy_lw_up_+2,energy_lw_dn_-3,energy_lw_dn_-2,energy_lw_dn_-1,energy_lw_dn_+1,energy_lw_dn_+2,clusterLabel
901,1998-06-01,16.3591,122.125,0,0,0,0,1,10,77,4,0,0,0,0,0,0,0,0,10,82,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
905,1998-06-01,14.18683,121.24693,0,0,0,0,2,10,80,0,0,0,0,0,0,0,0,0,46,43,3,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,17
910,1998-06-01,12.95731,120.77753,0,0,0,0,0,2,56,19,15,0,0,0,0,0,0,0,54,38,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
914,1998-06-01,4.94835,118.13134,0,0,0,0,0,1,90,1,0,0,0,0,0,0,0,0,16,76,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
923,1998-06-01,1.09291,117.06889,0,0,0,0,0,0,36,16,0,0,0,0,0,0,0,0,77,15,0,0,0,91,1,0,0,0,92,0,0,0,0,92,0,0,5
939,1998-06-01,35.14726,133.44249,0,92,0,0,0,5,82,4,0,0,0,0,0,0,0,0,54,38,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
947,1998-06-01,32.69456,131.34071,0,92,0,0,0,26,60,6,0,0,0,0,0,0,0,0,43,49,0,0,3,89,0,0,0,0,92,0,0,0,0,92,0,0,18
953,1998-06-01,31.52595,130.42607,0,0,0,0,6,36,49,1,0,0,0,0,0,0,0,0,81,11,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,3
954,1998-06-01,31.32897,130.27689,0,0,0,0,0,14,75,3,0,0,0,0,0,0,0,0,86,6,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
971,1998-06-01,4.82195,117.90593,0,0,0,0,0,18,71,3,0,0,0,0,0,0,0,0,21,71,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
972,1998-06-01,4.55096,117.82818,0,0,0,0,0,1,85,6,0,0,0,0,0,0,0,0,26,66,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
976,1998-06-01,3.45911,117.52112,0,0,0,0,0,28,58,3,3,0,0,0,0,0,0,0,51,41,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,17
983,1998-06-01,1.23618,116.9254,0,0,0,0,0,0,35,29,11,0,0,0,0,0,0,0,61,31,0,0,1,90,1,0,0,0,92,0,0,0,0,92,0,0,12
1001,1998-06-01,41.51928,140.05383,0,0,0,0,6,7,77,2,0,0,0,0,0,0,0,0,57,35,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1003,1998-06-01,35.13641,133.09662,0,92,0,0,0,1,81,10,0,0,0,0,0,0,0,0,54,38,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
1026,1998-06-01,15.69651,121.41187,0,0,0,0,1,31,55,5,0,0,0,0,0,0,0,0,35,57,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,17
1027,1998-06-01,15.45481,121.31487,0,0,0,0,10,21,56,4,0,0,0,0,0,0,0,0,37,55,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,17
1036,1998-06-01,11.7515,119.92213,0,0,0,0,0,18,67,7,0,0,0,0,0,0,0,0,89,3,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1039,1998-06-01,5.77328,117.99339,0,0,0,0,0,3,72,13,3,0,0,0,0,0,0,0,32,60,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,20
1054,1998-06-01,1.65939,116.85442,0,0,0,0,0,0,55,18,1,0,0,0,0,0,0,0,44,48,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,17
1063,1998-06-01,43.70929,142.72864,0,92,0,0,0,0,64,23,0,0,0,0,0,0,0,0,35,51,6,0,3,88,1,0,0,0,92,0,0,0,0,92,0,0,18
1075,1998-06-01,35.12339,132.75087,0,92,0,0,0,39,46,7,0,0,0,0,0,0,0,0,68,24,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,18
1090,1998-06-01,17.99212,122.14766,0,0,0,0,0,20,66,6,0,0,0,0,0,0,0,0,78,14,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1094,1998-06-01,17.04343,121.74413,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,47,45,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,17
1098,1998-06-01,16.08475,121.34958,0,0,0,0,0,20,71,1,0,0,0,0,0,0,0,0,49,43,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,17
1100,1998-06-01,15.60164,121.15559,0,0,0,0,0,34,58,0,0,0,0,0,0,0,0,0,39,53,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,17
1105,1998-06-01,10.88268,119.4156,0,0,0,0,0,0,74,10,6,0,0,0,0,0,0,6,70,15,1,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1112,1998-06-01,5.10684,117.61075,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,24,68,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,20
1118,1998-06-01,3.46844,117.15343,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,43,49,0,0,6,86,0,0,0,0,92,0,0,0,0,92,0,0,20
1122,1998-06-01,2.36007,116.85626,0,0,0,0,0,0,35,5,3,0,0,0,0,0,0,0,33,59,0,0,1,91,0,0,0,0,92,0,0,0,0,92,0,0,17
1131,1998-06-01,44.34706,143.24632,0,0,0,0,0,1,75,12,4,0,0,0,0,0,0,0,46,43,3,0,0,92,0,0,0,0,92,0,0,0,2,90,0,0,17
1137,1998-06-01,43.45339,141.87482,0,92,0,0,0,10,63,19,0,0,0,0,0,0,0,0,47,45,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,18
1158,1998-06-01,17.90355,121.88356,0,0,0,0,0,27,65,0,0,0,0,0,0,0,0,0,65,27,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1162,1998-06-01,16.95161,121.48343,0,0,0,0,0,19,70,3,0,0,0,0,0,0,0,0,59,33,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1169,1998-06-01,15.26165,120.80451,0,0,0,0,0,60,32,0,0,0,0,0,0,0,0,0,54,36,2,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,12
1180,1998-06-01,4.15869,117.15723,0,0,0,0,0,22,69,1,0,0,0,0,0,0,0,0,47,45,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,17
1186,1998-06-01,2.50078,116.71084,0,0,0,0,0,0,33,35,8,0,0,0,0,0,0,0,37,55,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,17
1187,1998-06-01,2.2216,116.63776,0,0,0,0,0,0,33,7,5,0,0,0,0,0,0,0,34,58,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,17
1211,1998-06-01,42.40375,139.94408,0,92,0,0,0,4,88,0,0,0,0,0,0,0,0,0,55,37,0,0,0,91,1,0,0,0,92,0,0,0,0,92,0,0,2
1214,1998-06-01,34.13977,131.25385,0,92,0,0,0,7,80,5,0,0,0,0,0,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,2
1226,1998-06-01,16.85798,121.2233,0,0,0,0,0,11,80,0,0,0,0,0,0,0,0,0,60,32,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
1245,1998-06-01,4.84509,117.16109,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,28,64,0,0,2,90,0,0,0,0,92,0,0,0,0,92,0,0,17
1251,1998-06-01,3.19657,116.71178,0,0,0,0,0,0,34,0,3,0,0,0,0,0,0,0,38,54,0,0,5,87,0,0,0,0,92,0,0,0,0,92,0,0,17
1263,1998-06-01,53.43754,-168.05582,0,0,0,0,0,17,75,0,0,0,0,0,0,0,0,1,89,2,0,0,0,92,0,0,0,0,92,0,0,0,0,89,3,0,3
1277,1998-06-01,33.14309,130.13904,0,0,0,0,4,13,52,9,9,0,0,0,0,0,0,0,91,1,0,0,0,92,0,0,0,0,92,0,0,0,0,92,0,0,3
