index,lat,lon,ft_frozen,fw_fw_06_swe_-3,clusteringLabel
80911,52.36048,-68.91231,43,14,4
80964,67.81446,52.89576,0,0,0
80971,66.51069,55.2348,59,0,3
80991,62.58838,60.66816,40,0,3
80998,61.15937,62.22038,39,0,3
81039,52.36048,68.91231,34,0,1
81060,47.62227,71.2692,4,0,0
81076,43.91886,72.74905,6,0,2
81080,42.98056,73.08423,11,0,2
81099,38.45472,74.51751,0,0,0
81109,36.02578,75.18058,0,0,0
81146,26.73251,77.21478,0,0,0
81152,25.17586,77.494,0,0,0
81159,23.3405,77.80494,0,0,0
81194,13.81571,79.15587,0,0,0
81209,7.47881,79.86331,0,0,0
81218,21.69331,-77.86317,0,0,0
81247,47.08614,-71.17529,15,0,2
81255,48.91008,-70.34617,20,0,1
81256,49.13663,-70.23758,20,0,1
81270,52.27415,-68.58703,43,0,3
81286,55.77769,-66.34868,46,0,3
81290,56.63885,-65.71853,53,0,3
81330,66.00075,55.40771,53,0,3
81370,57.91872,64.71203,32,0,1
81428,45.01004,72.03086,0,0,0
81445,41.01894,73.45701,19,0,2
81520,22.22504,77.77817,0,0,0
81531,19.27731,78.23171,0,0,0
81533,18.73509,78.31063,0,0,0
81544,15.71632,78.72667,0,0,0
81557,12.06332,79.18216,0,0,0
81562,10.6317,79.34781,0,0,0
81563,10.3435,79.38035,0,0,0
81638,56.32724,-65.52384,52,0,3
81662,75.34186,-19.83213,0,0,0
81670,67.35277,52.32641,59,0,3
81686,64.33539,57.29526,44,0,3
81692,63.15638,58.86968,42,0,3
81710,59.49575,62.86009,33,0,1
81756,49.50607,69.7108,20,0,1
81773,45.62812,71.47065,0,0,0
81809,37.11081,74.3675,0,0,0
81847,27.64188,76.59742,0,0,0
81868,22.16708,77.58074,0,0,0
81940,45.31949,-71.28373,16,0,2
81946,46.69872,-70.69553,15,0,2
82002,67.21152,-51.87481,69,0,3
82070,56.22898,65.17065,33,0,1
82077,54.72266,66.26412,32,0,1
82088,52.31838,67.80971,34,0,1
82168,33.37008,75.09919,0,0,0
